,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
14,E. pulchella,0.0,specificEpithet,0.0,E.,0.0,pulchella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. pulchella sp.
15,Exocelina koroba,0.0,specificEpithet,0.0,Exocelina,0.0,koroba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina koroba sp.
16,E. mianminensis,0.0,specificEpithet,0.0,E.,0.0,mianminensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. mianminensis sp.
17,E. haia,0.0,specificEpithet,0.0,E.,0.0,haia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. haia sp.
18,Exocelina mekilensis,0.0,specificEpithet,0.0,Exocelina,0.0,mekilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina mekilensis sp.
19,Exocelina akameku,0.0,specificEpithet,0.0,Exocelina,0.0,akameku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina akameku sp.
20,Exocelina kailaki,0.0,specificEpithet,0.0,Exocelina,0.0,kailaki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina kailaki sp.
21,Exocelina warahulenensis,0.0,specificEpithet,0.0,Exocelina,0.0,warahulenensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina warahulenensis sp.
22,Exocelina kobau,0.0,specificEpithet,0.0,Exocelina,0.0,kobau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina kobau sp.
23,Exocelina warasera,0.0,specificEpithet,0.0,Exocelina,0.0,warasera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina warasera sp.
24,Exocelina haia,0.0,specificEpithet,0.0,Exocelina,0.0,haia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina haia sp.
