,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
33,Leioproctus nitidifuscus,Leioproctus nitidifuscus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,nitidifuscus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) nitidifuscus Leijs, sp."
34,Leioproctus pectinatus,Leioproctus pectinatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,pectinatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) pectinatus Leijs, sp."
35,Leioproctus nitidifuscus,Leioproctus nitidifuscus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,nitidifuscus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) nitidifuscus Leijs, sp."
36,Leioproctus pectinatus,Leioproctus pectinatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,pectinatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) pectinatus Leijs, sp."
37,Leioproctus rubicundus,Leioproctus rubicundus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,rubicundus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) rubicundus Leijs, sp."
38,Leioproctus pilotapilus,Leioproctus pilotapilus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,pilotapilus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) pilotapilus Leijs, sp."
39,Leioproctus quadripinnatus,Leioproctus quadripinnatus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,quadripinnatus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) quadripinnatus Leijs, sp."
40,Leioproctus similis,Leioproctus similis Leijs,specificEpithet,0.0,Leioproctus,Colletellus,similis,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) similis Leijs, sp."
41,Leioproctus splendens,Leioproctus splendens Leijs,specificEpithet,0.0,Leioproctus,Colletellus,splendens,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) splendens Leijs, sp."
42,Leioproctus rubicundus,Leioproctus rubicundus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,rubicundus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) rubicundus Leijs, sp."
43,Leioproctus similis,Leioproctus similis Leijs,specificEpithet,0.0,Leioproctus,Colletellus,similis,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) similis Leijs, sp."
44,Leioproctus submetallicus,Leioproctus submetallicus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,submetallicus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) submetallicus Leijs, sp."
45,Leioproctus submetallicus,Leioproctus submetallicus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,submetallicus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) submetallicus Leijs, sp."
46,Leioproctus rubricinctus,Leioproctus rubricinctus Leijs,specificEpithet,0.0,Leioproctus,Colletellus,rubricinctus,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) rubricinctus Leijs, sp."
47,Leioproctus splendens,Leioproctus splendens Leijs,specificEpithet,0.0,Leioproctus,Colletellus,splendens,0.0,0.0,Leijs,0.0,Leijs,0.0,0.0,0.0,0.0,0.0,0.0,"Leioproctus (Colletellus) splendens Leijs, sp."
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
